7	7	7
38	20	10
76	33	14
129	45	18
10	40	27
42	55	31
80	67	35
129	78	39
14	77	48
45	89	51
82	101	54
129	107	56
19	132	71
50	134	72
83	133	71
127	132	71
7	13	30
39	26	36
77	39	40
131	52	46
11	46	49
45	61	55
84	74	60
128	82	61
15	84	69
48	96	72
84	104	73
128	108	74
20	133	90
53	133	89
86	128	85
128	131	86
6	17	57
42	32	62
80	45	66
130	58	70
11	52	74
46	66	77
83	78	80
130	85	80
16	90	91
51	101	93
82	103	89
128	109	91
21	131	104
53	130	103
88	130	101
126	130	99
7	23	89
45	38	89
83	50	89
127	61	88
12	58	101
49	72	99
86	82	101
126	85	96
16	92	109
52	102	107
86	106	107
126	108	104
21	130	116
54	128	114
87	129	113
124	126	109
40	38	36
71	51	41
101	61	44
136	71	48
42	71	56
76	90	63
105	96	67
137	103	68
48	112	78
78	121	79
108	126	82
135	124	80
52	137	89
82	138	89
109	138	89
138	140	89
40	45	63
74	59	69
107	69	72
137	77	74
47	83	84
76	93	85
109	98	87
138	103	87
52	118	98
82	125	99
112	124	97
138	124	96
56	139	108
85	139	106
110	136	102
136	137	102
43	50	87
78	63	90
111	73	89
137	79	90
49	85	102
82	95	101
110	99	100
135	103	100
53	117	113
84	120	109
110	120	107
135	122	107
58	37	118
84	134	114
111	135	112
135	135	112
46	54	104
81	66	105
111	75	103
135	81	102
52	86	114
82	94	110
110	97	109
133	99	107
54	112	121
85	119	118
111	118	114
133	119	114
58	135	125
86	135	123
110	134	120
130	131	116
77	74	71
106	86	76
135	97	82
143	99	81
81	104	88
108	117	94
132	121	95
142	122	95
84	130	102
111	135	104
131	136	103
143	136	103
85	143	107
109	144	107
131	143	107
141	143	105
82	82	97
109	92	100
135	101	102
143	103	100
86	114	111
110	116	109
135	119	109
146	122	109
89	135	118
114	136	116
133	135	114
141	133	111
90	142	120
112	143	119
132	142	117
143	143	117
85	86	112
113	95	112
134	101	111
143	103	109
88	111	119
114	115	117
132	117	116
142	118	115
90	130	124
112	129	121
132	131	121
141	131	119
90	141	127
115	142	126
131	140	124
144	142	124
88	88	118
114	94	117
131	99	117
141	102	115
90	109	124
114	113	123
130	114	121
141	115	120
89	125	126
113	127	125
130	128	124
140	128	124
91	140	133
114	140	131
130	140	129
138	137	126
126	120	116
139	126	119
144	125	117
151	127	117
127	132	121
138	135	123
143	135	120
150	136	120
126	141	123
136	143	124
141	141	122
148	142	121
128	150	128
138	151	129
143	150	127
145	146	122
130	124	125
142	128	128
145	127	124
151	127	124
130	134	128
138	135	128
144	134	126
151	134	125
129	142	131
138	144	131
144	143	128
150	142	127
128	147	133
137	150	133
145	150	132
148	147	128
130	123	130
138	124	129
143	124	127
148	125	125
129	132	132
137	133	132
141	131	128
149	133	129
129	142	136
136	142	134
141	140	132
148	139	131
128	147	138
137	149	137
141	145	133
147	146	133
130	122	134
136	122	133
141	122	131
146	122	129
128	130	135
136	132	136
142	132	134
147	130	132
125	136	134
133	138	136
141	139	136
143	136	132
128	146	140
136	146	140
139	144	137
144	143	134
8	8	7
16	11	8
19	12	7
26	15	9
31	17	9
37	19	10
43	22	10
50	24	11
56	27	13
64	30	13
73	32	14
84	35	14
93	38	17
109	41	17
123	44	17
129	46	18
7	7	6
8	15	11
9	21	15
10	26	18
11	33	23
10	38	26
12	46	31
13	54	36
15	60	40
15	68	44
16	79	50
16	88	54
17	100	59
19	114	65
19	125	69
19	131	72
7	7	6
7	9	12
8	10	16
8	11	20
8	12	24
7	12	28
7	13	32
7	14	39
7	15	43
7	17	48
8	18	55
7	18	60
7	19	66
8	21	76
7	22	84
7	22	87
7	7	7	 
16	16	15	 
21	20	19	 
27	26	24	 
33	32	30	 
39	37	36	 
47	45	43	 
55	53	50	 
61	58	56	 
70	66	64	 
77	74	70	 
86	81	78	 
100	94	91	 
113	107	104	 
122	115	111	 
125	119	115	 
